sex,test,test_name,short_name,long_name,system,unit,unit_source,unit_confidence,nhanes_name,age_bin,age_lo,age_hi,age_mid,scale_type,axis_column,is_log_scale,stats_n_total,n_age_years_present,age_years_present,density_points_used,weighting_method,has_density_data,raw_min,raw_max,q0,q1,q2,q3,q4,raw_q0,raw_q1,raw_q2,raw_q3,raw_q4
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,90-94,90,94,92.0,regular,x,False,51.0,0,,0,none,False,1.69000005722046,12.1999998092651,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,95-99,95,99,97.0,log,log_x,True,14.0,0,,0,none,False,3.09999990463257,9.80000019073486,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,95-99,95,99,97.0,regular,x,False,14.0,0,,0,none,False,3.09999990463257,9.80000019073486,,,,,,,,,,
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,20-24,20,24,22.0,log,log_x,True,740.0,5,20|21|22|23|24,150,stats_n,True,3.0,250.800003051758,1.0986122886681098,3.274804538652475,3.5217335592115324,3.771272952514222,5.52465582092686,3.0,26.438057357178092,33.84304656531424,43.43532076007393,250.800003051758
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,20-24,20,24,22.0,regular,x,False,740.0,5,20|21|22|23|24,150,stats_n,True,3.0,250.800003051758,3.0,26.540888980403817,34.09571182226382,43.51492534606114,250.800003051758,3.0,26.540888980403817,34.09571182226382,43.51492534606114,250.800003051758
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,25-29,25,29,27.0,log,log_x,True,1092.0,5,25|26|27|28|29,150,stats_n,True,4.0,368.0,1.3862943611198906,3.325183520521902,3.5883489017554724,3.8284924202337356,5.908082938168931,4.0,27.804100797569664,36.1742992694688,45.99314760268839,368.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,25-29,25,29,27.0,regular,x,False,1092.0,5,25|26|27|28|29,150,stats_n,True,4.0,368.0,2.03886470119095,27.997134000565335,36.4407705660126,46.034803356551706,368.0,2.03886470119095,27.997134000565335,36.4407705660126,46.034803356551706,368.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,30-34,30,34,32.0,log,log_x,True,1375.0,5,30|31|32|33|34,150,stats_n,True,4.0,191.0,1.3862943611198906,3.3370788800452105,3.6001534807147024,3.85630935798329,5.25227342804663,4.0,28.13681553022058,36.603851997939344,47.290496610385276,191.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,30-34,30,34,32.0,regular,x,False,1375.0,5,30|31|32|33|34,150,stats_n,True,4.0,191.0,4.0,28.237540895088216,36.904813502126224,47.29961477898688,191.0,4.0,28.237540895088216,36.904813502126224,47.29961477898688,191.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,35-39,35,39,37.0,log,log_x,True,1641.0,5,35|36|37|38|39,150,stats_n,True,2.40000009536743,237.699996948242,0.8754687770903282,3.3222037528724337,3.590293632076727,3.8431084352558518,5.471009361527452,2.40000009536743,27.721374351495168,36.244716975639264,46.67032087107997,237.699996948242
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,35-39,35,39,37.0,regular,x,False,1641.0,5,35|36|37|38|39,150,stats_n,True,2.40000009536743,237.699996948242,2.40000009536743,27.862486623421834,36.49250646652263,46.80853790516569,237.699996948242,2.40000009536743,27.862486623421834,36.49250646652263,46.80853790516569,237.699996948242
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,40-44,40,44,42.0,log,log_x,True,1908.0,5,40|41|42|43|44,150,stats_n,True,2.40000009536743,302.0,0.8754687770903282,3.37286463497634,3.675968327748143,3.9321237421240283,5.71042701737487,2.40000009536743,29.161945848614742,39.48687458692014,51.01520584577499,302.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,40-44,40,44,42.0,regular,x,False,1908.0,5,40|41|42|43|44,150,stats_n,True,2.40000009536743,302.0,2.40000009536743,29.47830333786892,39.78105377263304,51.07247291667901,302.0,2.40000009536743,29.47830333786892,39.78105377263304,51.07247291667901,302.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,45-49,45,49,47.0,log,log_x,True,1909.0,5,45|46|47|48|49,150,stats_n,True,2.40000009536743,208.0,0.8754687770903282,3.396203672246765,3.6932785132288517,3.9682968602289943,5.337538079701318,2.40000009536743,29.850562152676716,40.17634996717234,52.894367580066294,208.0
female,lab.103000.no_meds,ANGIOTENSIN_I_CONVERTING_ENZYME,ACE,ACE,AdrenalPituitary,U/L,manual_clinical_override,high,,45-49,45,49,47.0,regular,x,False,1909.0,5,45|46|47|48|49,150,stats_n,True,2.40000009536743,208.0,1.72658519815802,30.031343115845804,40.49324341425084,53.01558863501284,208.0,1.72658519815802,30.031343115845804,40.49324341425084,53.01558863501284,208.0
