Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
,Blood Toluene (ng/mL),,blood toluene,,V,NHANES Only
,Blood Trichloroethene (ng/mL),,blood trichloroethene,,V,NHANES Only
,Blood cadmium (nmol/L),,blood cadmium__nmol/l,,V,NHANES Only
,Blood cadmium (ug/L),,blood cadmium__ug/l,,V,NHANES Only
,Blood lead (ug/dL),,blood lead__ug/dl,,V,NHANES Only
,Blood lead (umol/L),,blood lead__umol/l,,V,NHANES Only
,Blood m-/p-Xylene (ng/mL),,blood m-/p-xylene,,V,NHANES Only
,"Blood mercury, total (nmol/L)",,blood mercury total__nmol/l,,V,NHANES Only
,"Blood mercury, total (ug/L)",,blood mercury total__ug/l,,V,NHANES Only
,Blood o-Xylene (ng/mL),,blood o-xylene,,V,NHANES Only
,Cadmium (nmol/L),,cadmium__nmol/l,,V,NHANES Only
,Cadmium (ug/L),,cadmium__ug/l,,V,NHANES Only
,Chloroform (ug/cubic meter),,chloroform,,V,NHANES Only
,Cotinine (ng/mL),,cotinine,,V,NHANES Only
,Crotonaldehyde (ng/mL),,crotonaldehyde,,V,NHANES Only
,Dieldrin (ng/g),,dieldrin,,V,NHANES Only
,Dieldrin Lipid Adjusted,,dieldrin lipid adjusted,,V,NHANES Only
,Endrin,,endrin,,V,NHANES Only
,Endrin Lipid Adjusted,,endrin lipid adjusted,,V,NHANES Only
,Ethylbenzene (ug/cubic meter),,ethylbenzene,,V,NHANES Only
,Glycideamide (pmol/g Hb),,glycideamide,,V,NHANES Only
,Heptachlor Epoxide (ng/g),,heptachlor epoxide,,V,NHANES Only
,Heptachlor Epoxide Lipid Adjusted,,heptachlor epoxide lipid adjusted,,V,NHANES Only
,Heptachlororodibenzo-p-dioxin (fg/g),,1 2 3 4 6 7 8-heptachlororodibenzo-p-dioxin hpcdd__fg/g,,V,NHANES Only
,Heptachlororodibenzo-p-dioxin Lipid Adjusted,,1 2 3 4 6 7 8-heptachlororodibenzo-p-dioxin hpcdd lipid adjusted__raw_,,V,NHANES Only
,Hexachlorodibenzo-p-dioxin (fg/g),,1 2 3 4 7 8-hexachlorodibenzo-p-dioxin hxcdd__fg/g,,V,NHANES Only
,Hexachlorodibenzo-p-dioxin (fg/g),,1 2 3 6 7 8-hexachlorodibenzo-p-dioxin hxcdd__fg/g,,V,NHANES Only
,Hexachlorodibenzo-p-dioxin (fg/g),,1 2 3 7 8 9-hexachlorodibenzo-p-dioxin hxcdd__fg/g,,V,NHANES Only
,Hexachlorodibenzo-p-dioxin Lipid Adjusted,,1 2 3 4 7 8-hexachlorodibenzo-p-dioxin hxcdd lipid adjusted__raw_,,V,NHANES Only
,Hexachlorodibenzo-p-dioxin Lipid Adjusted,,1 2 3 6 7 8-hexachlorodibenzo-p-dioxin hxcdd lipid adjusted__raw_,,V,NHANES Only
,Hexachlorodibenzo-p-dioxin Lipid Adjusted,,1 2 3 7 8 9-hexachlorodibenzo-p-dioxin hxcdd lipid adjusted__raw_,,V,NHANES Only
,"Hydroxycotinine, Serum (ng/mL)",,hydroxycotinine serum,,V,NHANES Only
,"Inorganic mercury, blood (ug/L)",,inorganic mercury blood,,V,NHANES Only
,Lead (ug/dL),,lead__ug/dl,,V,NHANES Only
,Lead (umol/L),,lead__umol/l,,V,NHANES Only
,"M,p-Xylene (ug/cubic meter)",,m p-xylene,,V,NHANES Only
,MTBE (ug/cubic meter),,mtbe,,V,NHANES Only
,"Mercury, ethyl (ug/L)",,mercury ethyl__ug/l,,V,NHANES Only
,"Mercury, inorganic (nmol/L)",,mercury inorganic,,V,NHANES Only
,"Mercury, methyl (nmol/L)",,mercury methyl__nmol/l,,V,NHANES Only
,"Mercury, methyl (ug/L)",,mercury methyl__ug/l,,V,NHANES Only
,Mirex (ng/g),,mirex__ng/g,,V,NHANES Only
,Mirex Lipid Adjusted,,mirex lipid adjusted,,V,NHANES Only
,Monomethyl br. isomers of PFOS (ng/mL),,monomethyl br isomers of pfos,,V,NHANES Only
,Octachlorodibenzo-p-dioxin (fg/g),,1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,,V,NHANES Only
,Octachlorodibenzo-p-dioxin Lipid Adjusted,,1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,,V,NHANES Only
,PCB101 (ng/g),,pcb101__ng/g,,V,NHANES Only
,PCB101 Lipid Adjusted,,pcb101 lipid adjusted,,V,NHANES Only
,PCB105 (ng/g),,pcb105,,V,NHANES Only
,PCB105 Lipid Adjusted,,pcb105 lipid adjusted,,V,NHANES Only
,PCB110 (ng/g),,pcb110__ng/g,,V,NHANES Only
,PCB110 Lipid Adjusted,,pcb110 lipid adjusted,,V,NHANES Only
,PCB118 (ng/g),,pcb118,,V,NHANES Only
,PCB118 Lipid Adjusted,,pcb118 lipid adjusted,,V,NHANES Only
,PCB128 (ng/g),,pcb128__ng/g,,V,NHANES Only
,PCB128 Lipid Adjusted,,pcb128 lipid adjusted,,V,NHANES Only
,PCB138 (ng/g),,pcb138,,V,NHANES Only
,PCB138 Lipid Adjusted,,pcb138 lipid adjusted,,V,NHANES Only
,PCB146 (ng/g),,pcb146__ng/g,,V,NHANES Only
,PCB146 Lipid Adjusted,,pcb146 lipid adjusted,,V,NHANES Only
,PCB149 (ng/g),,pcb149__ng/g,,V,NHANES Only
,PCB149 Lipid Adjusted,,pcb149 lipid adjusted,,V,NHANES Only
,PCB151 (ng/g),,pcb151__ng/g,,V,NHANES Only
,PCB151 Lipid Adjusted,,pcb151 lipid adjusted,,V,NHANES Only
,PCB153 (ng/g),,pcb153__ng/g,,V,NHANES Only
,PCB153 Lipid Adjusted,,pcb153 lipid adjusted,,V,NHANES Only
,PCB156 (ng/g),,pcb156,,V,NHANES Only
,PCB156 Lipid Adjusted,,pcb156 lipid adjusted,,V,NHANES Only
,PCB157 (ng/g),,pcb157,,V,NHANES Only
,PCB157 Lipid Adjusted,,pcb157 lipid adjusted,,V,NHANES Only
,PCB167 (ng/g),,pcb167,,V,NHANES Only
,PCB167 Lipid Adjusted,,pcb167 lipid adjusted,,V,NHANES Only
,PCB170 (ng/g),,pcb170__ng/g,,V,NHANES Only
,PCB170 Lipid Adjusted,,pcb170 lipid adjusted,,V,NHANES Only
,PCB172 (ng/g),,pcb172__ng/g,,V,NHANES Only
,PCB172 Lipid Adjusted,,pcb172 lipid adjusted,,V,NHANES Only
,PCB177 (ng/g),,pcb177__ng/g,,V,NHANES Only
,PCB177 Lipid Adjusted,,pcb177 lipid adjusted,,V,NHANES Only
,PCB178 (ng/g),,pcb178__ng/g,,V,NHANES Only
,PCB178 Lipid Adjusted,,pcb178 lipid adjusted,,V,NHANES Only
,PCB180 (ng/g),,pcb180__ng/g,,V,NHANES Only
,PCB180 Lipid Adjusted,,pcb180 lipid adjusted,,V,NHANES Only
,PCB183 (ng/g),,pcb183__ng/g,,V,NHANES Only
,PCB183 Lipid Adjusted,,pcb183 lipid adjusted,,V,NHANES Only
,PCB187 (ng/g),,pcb187__ng/g,,V,NHANES Only
,PCB187 Lipid Adjusted,,pcb187 lipid adjusted,,V,NHANES Only
,PCB189 (ng/g),,pcb189,,V,NHANES Only
,PCB189 Lipid Adjusted,,pcb189 lipid adjusted,,V,NHANES Only
,PCB194 (ng/g),,pcb194__ng/g,,V,NHANES Only
,PCB194 Lipid Adjusted,,pcb194 lipid adjusted,,V,NHANES Only
,PCB195 (ng/g),,pcb195__ng/g,,V,NHANES Only
,PCB195 Lipid Adjusted,,pcb195 lipid adjusted,,V,NHANES Only
,PCB196 & 203 (ng/g),,pcb196 203,,V,NHANES Only
,PCB196 & 203 Lipid Adjusted (ng/g),,pcb196 203 lipid adjusted,,V,NHANES Only
,PCB199 (ng/g),,pcb199__ng/g,,V,NHANES Only
,PCB199 Lipid Adjusted,,pcb199 lipid adjusted__raw_,,V,NHANES Only
,PCB199 Lipid Adjusted (ng/g),,pcb199 lipid adjusted__ng/g,,V,NHANES Only
,PCB206 (ng/g),,pcb206__ng/g,,V,NHANES Only
,PCB206 Lipid Adjusted,,pcb206 lipid adjusted,,V,NHANES Only
,PCB209 (ng/g),,pcb209__ng/g,,V,NHANES Only
,PCB209 Lipid Adjusted (ng/g),,pcb209 lipid adjusted,,V,NHANES Only
,PCB28 (ng/g),,pcb28__ng/g,,V,NHANES Only
,PCB28 Lipid Adj (ng/g),,pcb28 lipid adj,,V,NHANES Only
,PCB44 (ng/g),,pcb44__ng/g,,V,NHANES Only
,PCB44 Lipid Adjusted (ng/g),,pcb44 lipid adjusted,,V,NHANES Only
,PCB49 (ng/g),,pcb49__ng/g,,V,NHANES Only
,PCB49 Lipid Adjusted (ng/g),,pcb49 lipid adjusted,,V,NHANES Only
,PCB52 (ng/g),,pcb52__ng/g,,V,NHANES Only
,PCB52 Lipid Adj (ng/g),,pcb52 lipid adj,,V,NHANES Only
,PCB66 (ng/g),,pcb66__ng/g,,V,NHANES Only
,PCB66 Lipid Adjusted,,pcb66 lipid adjusted,,V,NHANES Only
,PCB74 (ng/g),,pcb74__ng/g,,V,NHANES Only
,PCB74 Lipid Adjusted,,pcb74 lipid adjusted,,V,NHANES Only
,PCB87 (ng/g),,pcb87__ng/g,,V,NHANES Only
,PCB87 Lipid Adjusted,,pcb87 lipid adjusted,,V,NHANES Only
,PCB99 (ng/g),,pcb99__ng/g,,V,NHANES Only
,PCB99 Lipid Adjusted,,pcb99 lipid adjusted,,V,NHANES Only
,Pentachlorodibenzo-p-dioxin (fg/g),,1 2 3 7 8-pentachlorodibenzo-p-dioxin pncdd__fg/g,,V,NHANES Only
,Pentachlorodibenzo-p-dioxin Lipid Adjusted,,1 2 3 7 8-pentachlorodibenzo-p-dioxin pncdd lipid adjusted__raw_,,V,NHANES Only
,"Perchlorate, water (ng/mL)",,perchlorate water,,V,NHANES Only
,Perfluoro-1-heptanesulfonate,,perfluoro-1-heptanesulfonate,,V,NHANES Only
,Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) (ng/mL),,perfluoromethylheptane sulfonic acid isomers sm-pfos,,V,NHANES Only
,Surplus sera perfluorononanoate (PFNA) result (ng/ml),,surplus sera perfluorononanoate pfna result,,V,NHANES Only
,Surplus sera perfluorooctane sulfonate (PFOS) result (ng/ml),,surplus sera perfluorooctane sulfonate pfos result,,V,NHANES Only
,Surplus sera perfluorooctanoate (PFOA) result (ng/ml),,surplus sera perfluorooctanoate pfoa result,,V,NHANES Only
,Surplus sera perfluoroundecanoate (PFUA) result (ng/ml),,surplus sera perfluoroundecanoate pfua result,,V,NHANES Only
,Tetrachlorodienzo-p-dioxin (fg/g),,2 3 7 8-tetrachlorodienzo-p-dioxin tcdd__fg/g,,V,NHANES Only
,Tetrachlorodienzo-p-dioxin Lipid Adjusted,,2 3 7 8-tetrachlorodienzo-p-dioxin tcdd lipid adjusted__raw_,,V,NHANES Only
,Tetrachloroethene (ug/cubic meter),,tetrachloroethene,,V,NHANES Only
,Toluene (ug/cubic meter),,toluene,,V,NHANES Only
,Trans-nonachlor (ng/g),,trans-nonachlor,,V,NHANES Only
,Trans-nonachlor Lipid Adjusted,,trans-nonachlor lipid adjusted,,V,NHANES Only
,Trichloroethane Result,,1 1 1-trichloroethane result,,V,NHANES Only
,Trichloroethene (ug/cubic meter),,trichloroethene,,V,NHANES Only
,Water Bromodichloromethane (ng/mL),,water bromodichloromethane,,V,NHANES Only
,Water Bromoform (ng/mL),,water bromoform,,V,NHANES Only
,Water Chloroform (ng/mL),,water chloroform,,V,NHANES Only
,Water Dibromochloromethane (ng/mL),,water dibromochloromethane,,V,NHANES Only
,Water MTBE (ng/mL),,water mtbe,,V,NHANES Only
,dichlorobenzene (ug/cubic meter),,1 4-dichlorobenzene,,V,NHANES Only
,n-perfluorooctane sulfonic acid (n-PFOS) (ng/mL),,n-perfluorooctane sulfonic acid n-pfos,,V,NHANES Only
,n-perfluorooctanoic acid (n-PFOA) (ng/mL),,n-perfluorooctanoic acid n-pfoa,,V,NHANES Only
,o-Xylene (ug/cubic meter),,o-xylene,,V,NHANES Only
