Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
Sodium,Sodium (mmol/L),lab.20500.no_meds,sodium,V,V,Mapped (Existing)
Urea,Blood urea nitrogen (mg/dL),lab.20200.no_meds,blood urea nitrogen__mg/dl,V,V,Auto-Mapped
,Basophils percent (%),,basophils percent,,V,NHANES Only
,Eosinophils number (1000 cells/uL),,eosinophils number,,V,NHANES Only
,Eosinophils percent (%),,eosinophils percent,,V,NHANES Only
,Lymphocyte number (1000 cells/uL),,lymphocyte number,,V,NHANES Only
,Lymphocyte percent (%),,lymphocyte percent,,V,NHANES Only
,Mean cell hemoglobin (pg),,mean cell hemoglobin,,V,NHANES Only
,Mean cell hemoglobin concentration (g/dL),,mean cell hemoglobin concentration,,V,NHANES Only
,Mean platelet volume (fL),,mean platelet volume,,V,NHANES Only
,Monocyte number (1000 cells/uL),,monocyte number,,V,NHANES Only
,Monocyte percent (%),,monocyte percent,,V,NHANES Only
,Platelet count (1000 cells/uL),,platelet count,,V,NHANES Only
,Red blood cell count (million cells/uL),,red blood cell count,,V,NHANES Only
,Segmented neutrophils num (1000 cell/uL),,segmented neutrophils num,,V,NHANES Only
,Segmented neutrophils percent (%),,segmented neutrophils percent,,V,NHANES Only
,White blood cell count (1000 cells/uL),,white blood cell count,,V,NHANES Only
,Bicarbonate (mmol/L),,bicarbonate,,V,NHANES Only
,Osmolality (mmol/Kg),,osmolality,,V,NHANES Only
,Phosphorus (mmol/L),,phosphorus__mmol/l,,V,NHANES Only
,Total calcium (mmol/L),,total calcium__mmol/l,,V,NHANES Only
,Apolipoprotein (B) (g/L),,apolipoprotein b,,V,NHANES Only
,Cholesterol (mg/dL),,cholesterol__mg/dl,,V,NHANES Only
,Cholesterol (mmol/L),,cholesterol__mmol/l,,V,NHANES Only
,Direct HDL-Cholesterol (mg/dL),,direct hdl-cholesterol__mg/dl,,V,NHANES Only
,Direct HDL-Cholesterol (mmol/L),,direct hdl-cholesterol__mmol/l,,V,NHANES Only
,"LBDLDLN = (LBXTC/0.948 – LBDHDD/0.971 – (LBXTR/8.56 + (LBXTR * (LBXTC – LBDHDD))/2140 – LBXTR^2/16100) – 9.44), round 0 decimal places) for LBXTR less than 800 mg/dL, and missing for LBXTR GE 800 mg/dL. ^2 stands for power=2, or squared. LBDHDD from public release file HDL_J",,lbdldln lbxtc/0 948 - lbdhdd/0 971 - lbxtr/8 56 + lbxtr lbxtc - lbdhdd /2140 - lbxtr 2/16100 - 9 44 round 0 decimal places for lbxtr less than 800 mg/dl and missing for lbxtr ge 800 mg/dl 2 stands for power 2 or squared lbdhdd from public release file hdl j,,V,NHANES Only
,"LDL-Cholesterol, Martin-Hopkins equation (mg/dL). LBDLDLM = (LBXTC-(LBDHDD + LBXTR/Adjustable Factor), round to 0 decimal places) for LBXTR less than 400 mg/dL, and missing for LBXTR greater than 400 mg/dL. LBDHDD from public release file HDL_J",,ldl-cholesterol martin-hopkins equation mg/dl lbdldlm lbxtc- lbdhdd + lbxtr/adjustable factor round to 0 decimal places for lbxtr less than 400 mg/dl and missing for lbxtr greater than 400 mg/dl lbdhdd from public release file hdl j,,V,NHANES Only
,"LDL-Cholesterol, Martin-Hopkins equation (mmol/L)",,ldl-cholesterol martin-hopkins equation,,V,NHANES Only
,"LDL-Cholesterol, NIH equation 2 (mmol/L)",,ldl-cholesterol nih equation 2,,V,NHANES Only
,LDL-cholesterol (mg/dL),,ldl-cholesterol__mg/dl,,V,NHANES Only
,LDL-cholesterol (mmol/L),,ldl-cholesterol__mmol/l,,V,NHANES Only
,Total Cholesterol (mg/dL),,total cholesterol__mg/dl,,V,NHANES Only
,Total Cholesterol (mmol/L),,total cholesterol__mmol/l,,V,NHANES Only
,Triglyceride (mg/dL),,triglyceride__mg/dl,,V,NHANES Only
,Triglyceride (mmol/L),,triglyceride__mmol/l,,V,NHANES Only
,Triglycerides (mmol/L),,triglycerides__mmol/l,,V,NHANES Only
,C-peptide (nmol/L) in SI units,,c-peptide nmol/l in si units,,V,NHANES Only
,C-peptide: pmol/mL,,c-peptide pmol/ml,,V,NHANES Only
,Fasting Glucose (mg/dL),,fasting glucose__mg/dl,,V,NHANES Only
,Fasting Glucose (mmol/L),,fasting glucose__mmol/l,,V,NHANES Only
,"Glucose, serum (mg/dL)",,glucose serum__mg/dl,,V,NHANES Only
,"Glucose, serum (mmol/L)",,glucose serum__mmol/l,,V,NHANES Only
,Glycohemoglobin (%),,glycohemoglobin,,V,NHANES Only
,Insulin (pmol/L),,insulin__pmol/l,,V,NHANES Only
,Insulin (uU/mL),,insulin__uu/ml,,V,NHANES Only
,Plasma glucose: SI (mmol/L),,plasma glucose si,,V,NHANES Only
,Parathyroid Hormone(Elecys method) pg/mL,,parathyroid hormone elecys method pg/ml,,V,NHANES Only
,Thyroglobulin (ug/L),,thyroglobulin__ug/l,,V,NHANES Only
,Thyroglobulin antibodies (IU/mL),,thyroglobulin antibodies,,V,NHANES Only
,Thyroglobulin antibody,,thyroglobulin antibody,,V,NHANES Only
,Thyroid perioxidase antibodies (IU/mL),,thyroid perioxidase antibodies,,V,NHANES Only
,Thyroid stimulating hormone (TSH) (uIU/mL),,thyroid stimulating hormone tsh,,V,NHANES Only
,Thyroid stimulating hormone (mIU/L),,thyroid stimulating hormone__miu/l,,V,NHANES Only
,Thyroxine (T4) (nmol/L),,thyroxine t4__nmol/l,,V,NHANES Only
,Thyroxine (T4) (ug/dL),,thyroxine t4__ug/dl,,V,NHANES Only
,"Thyroxine, free (ng/dL)",,thyroxine free__ng/dl,,V,NHANES Only
,"Thyroxine, free (pmol/L)",,thyroxine free__pmol/l,,V,NHANES Only
,"Thyroxine, total (T4) (ug/dL)",,thyroxine total t4,,V,NHANES Only
,Total T4,,total t4,,V,NHANES Only
,"Triiodothyronine (T3), free (pg/mL)",,triiodothyronine t3 free,,V,NHANES Only
,"Triiodothyronine (T3), total (ng/dL)",,triiodothyronine t3 total__ng/dl,,V,NHANES Only
,"Triiodothyronine (T3), total (nmol/L)",,triiodothyronine t3 total__nmol/l,,V,NHANES Only
,Blood urea nitrogen (mmol/L),,blood urea nitrogen__mmol/l,,V,NHANES Only
,Creatinine (umol/L),,creatinine__umol/l,,V,NHANES Only
,Cystatin C (mg/L),,cystatin c,,V,NHANES Only
,Cystatin C mg/L,,cystatin c mg/l,,V,NHANES Only
,Lauric acid (C12:0) (umol/L),,lauric acid c12 0,,V,NHANES Only
,Uric acid (umol/L),,uric acid__umol/l,,V,NHANES Only
